id,gender,birthyr,race,educ,faminc,inputstate,pid3,pid7,votereg,ideo5,newsint,marstat,child18,employ,presvote16post,region
371823339,Male,1993,White,High School Graduate,4,39,3,5,1,3,2,Married,1,7,3,Midwest
398212310,Male,2000,White,High School Graduate,97,51,5,8,3,2,5,Domestic Partnership,2,8,7,South
392933925,Male,2000,White,No High School Degree,1,34,2,7,1,4,1,"Single, Never Married",2,8,2,NorthEast
372445135,Male,1994,White,High School Graduate,2,55,3,3,2,3,3,"Single, Never Married",2,6,7,Midwest
392602384,Male,1994,White,High School Graduate,6,12,1,2,1,3,1,"Single, Never Married",2,2,1,South
384971789,Male,1999,White,High School Graduate,5,39,2,7,2,5,1,"Single, Never Married",2,8,7,Midwest
343805405,Male,1989,White,High School Graduate,3,29,3,4,1,3,2,Married,1,1,1,Midwest
406500387,Male,1997,White,High School Graduate,4,42,1,2,2,2,1,"Single, Never Married",2,4,7,NorthEast
390083210,Male,1997,White,High School Graduate,8,12,3,5,1,5,1,"Single, Never Married",2,8,2,South
374540683,Male,1997,White,High School Graduate,1,5,4,4,1,5,2,"Single, Never Married",2,2,2,South
377961492,Male,1990,White,High School Graduate,2,21,3,4,1,3,3,"Single, Never Married",2,2,7,South
383823390,Male,2000,White,No High School Degree,5,55,5,3,2,6,3,"Single, Never Married",2,8,7,Midwest
377014945,Male,2000,White,No High School Degree,97,13,3,4,2,1,1,"Single, Never Married",2,8,7,South
315725871,Male,1990,White,High School Graduate,6,6,2,6,1,3,2,Married,2,1,1,West
402412100,Male,1995,White,High School Graduate,2,42,3,4,2,1,1,"Single, Never Married",2,8,7,NorthEast
374638081,Male,2000,White,High School Graduate,97,47,2,7,2,5,3,"Single, Never Married",2,8,7,South
337717162,Male,1995,White,High School Graduate,2,21,1,2,2,3,2,"Single, Never Married",2,2,7,South
358384977,Male,1993,White,High School Graduate,6,25,3,5,1,3,1,"Single, Never Married",2,1,2,NorthEast
378159739,Male,1989,White,High School Graduate,8,42,3,3,1,2,1,Domestic Partnership,2,7,1,NorthEast
378919960,Male,1997,White,No High School Degree,97,41,5,4,3,6,5,Domestic Partnership,2,9,7,West
414058630,Male,2000,White,High School Graduate,6,18,2,6,2,4,2,"Single, Never Married",2,8,7,Midwest
396844167,Male,1994,White,No High School Degree,4,12,3,5,1,2,3,Married,1,8,2,South
409260627,Male,1999,White,No High School Degree,10,34,1,1,1,1,1,"Single, Never Married",2,2,1,NorthEast
385788752,Male,2000,White,High School Graduate,97,47,2,7,2,5,4,"Single, Never Married",2,8,7,South
369442002,Male,1999,White,High School Graduate,97,49,4,4,2,5,1,"Single, Never Married",2,1,6,West
374206867,Male,2000,White,No High School Degree,9,39,2,7,1,5,1,"Single, Never Married",2,8,7,Midwest
403624836,Male,1998,White,High School Graduate,5,50,4,4,1,1,1,"Single, Never Married",2,2,4,NorthEast
405240401,Male,1998,White,High School Graduate,97,36,5,8,2,6,4,"Single, Never Married",2,8,7,NorthEast
396286323,Male,1998,White,High School Graduate,3,13,1,1,1,1,2,"Single, Never Married",2,8,1,South
402802336,Male,2000,White,No High School Degree,10,55,1,1,2,1,1,"Single, Never Married",2,8,7,Midwest
390393254,Male,1999,White,No High School Degree,97,6,1,2,2,2,2,"Single, Never Married",2,8,7,West
382265925,Male,2000,White,High School Graduate,11,42,3,4,1,2,1,"Single, Never Married",2,2,1,NorthEast
387216388,Male,1997,White,High School Graduate,1,12,1,2,2,3,1,"Single, Never Married",2,1,7,South
387291015,Male,1993,White,High School Graduate,3,6,3,4,1,3,1,"Single, Never Married",2,1,2,West
376059683,Male,1992,White,High School Graduate,1,6,3,5,3,3,2,"Single, Never Married",2,2,7,West
380962707,Male,1993,White,High School Graduate,2,28,3,4,1,5,1,"Single, Never Married",2,4,3,South
377192262,Male,1993,White,High School Graduate,3,55,3,4,2,3,4,Married,1,1,7,Midwest
291038390,Male,1989,White,High School Graduate,2,51,2,6,1,3,4,"Single, Never Married",2,6,2,South
368602492,Male,1997,White,High School Graduate,7,55,2,6,1,4,1,"Single, Never Married",2,1,2,Midwest
306761888,Male,1992,White,High School Graduate,5,26,1,2,1,3,3,"Single, Never Married",2,4,2,Midwest
368104729,Male,1996,White,High School Graduate,9,12,3,4,1,4,1,"Single, Never Married",2,8,3,South
387316222,Male,1993,White,High School Graduate,11,39,1,2,2,2,4,"Single, Never Married",2,4,7,Midwest
413081612,Male,2000,White,No High School Degree,10,36,1,2,2,3,1,"Single, Never Married",2,8,7,NorthEast
411399316,Male,1995,White,High School Graduate,4,25,3,5,1,3,1,"Single, Never Married",2,4,2,NorthEast
382581968,Male,1989,White,High School Graduate,9,51,3,4,1,6,3,Married,1,1,7,South
365119628,Male,1998,White,High School Graduate,97,18,2,6,1,3,1,"Single, Never Married",2,8,3,Midwest
375959303,Male,1989,White,High School Graduate,97,26,2,6,1,6,5,"Single, Never Married",2,6,2,Midwest
311312224,Male,1993,White,High School Graduate,4,48,3,4,1,6,5,"Single, Never Married",2,1,3,South
409254418,Male,1999,White,No High School Degree,10,37,3,4,2,2,3,"Single, Never Married",2,2,7,South
404882155,Male,2000,White,No High School Degree,10,6,3,3,1,2,2,"Single, Never Married",2,8,7,West
351981069,Male,1990,White,High School Graduate,4,55,4,4,1,3,2,"Single, Never Married",2,1,2,Midwest
377574910,Male,1998,White,High School Graduate,7,18,4,3,1,1,1,"Single, Never Married",2,2,1,Midwest
416586806,Male,2000,White,High School Graduate,8,18,1,2,2,3,2,"Single, Never Married",2,8,7,Midwest
389946710,Male,1989,White,High School Graduate,2,42,3,4,1,1,1,"Single, Never Married",2,8,2,NorthEast
366948854,Male,1990,White,High School Graduate,97,36,3,3,1,2,1,"Single, Never Married",2,4,1,NorthEast
404394465,Male,1996,White,No High School Degree,2,51,4,4,2,5,3,"Single, Never Married",2,1,7,South
397116607,Male,1996,White,High School Graduate,1,18,2,7,1,4,1,"Single, Never Married",2,7,2,Midwest
378862749,Male,1999,White,High School Graduate,8,48,3,5,2,4,3,"Single, Never Married",2,8,7,South
404385386,Male,1997,White,High School Graduate,97,39,1,1,1,3,3,"Single, Never Married",2,1,7,Midwest
347265869,Male,1996,White,High School Graduate,3,39,2,7,1,3,3,Divorced,2,3,7,Midwest
392946791,Male,1996,White,High School Graduate,2,6,4,3,1,1,1,"Single, Never Married",2,1,1,West
379687370,Male,1989,White,High School Graduate,5,22,2,6,1,3,3,"Single, Never Married",2,1,2,South
327664553,Male,1997,White,High School Graduate,1,12,1,2,1,3,1,"Single, Never Married",2,1,2,South
418737122,Male,2000,White,High School Graduate,2,51,2,7,1,4,4,"Single, Never Married",2,8,7,South
396204801,Male,1997,White,High School Graduate,97,39,3,3,1,3,4,"Single, Never Married",2,4,3,Midwest
408403260,Male,1996,White,No High School Degree,4,12,3,4,2,2,2,"Single, Never Married",2,1,7,South
402865098,Male,1995,White,High School Graduate,5,12,1,2,1,2,2,"Single, Never Married",2,2,1,South
373887716,Male,1999,White,High School Graduate,4,26,1,2,1,1,1,"Single, Never Married",2,2,7,Midwest
384980441,Male,1995,White,High School Graduate,97,17,3,3,1,3,1,"Single, Never Married",2,7,1,Midwest
411294477,Male,2000,White,High School Graduate,10,48,3,4,2,5,2,"Single, Never Married",2,8,7,South
321575946,Male,1993,White,High School Graduate,5,56,4,4,1,3,2,"Single, Never Married",2,4,3,West
383824818,Male,1997,White,High School Graduate,97,37,3,5,1,5,5,"Single, Never Married",2,4,2,South
396972372,Male,1997,White,High School Graduate,8,48,2,6,1,3,3,"Single, Never Married",2,8,2,South
323163056,Male,1998,White,High School Graduate,97,24,2,7,1,4,2,"Single, Never Married",2,8,2,South
379655940,Male,1999,White,No High School Degree,97,26,3,3,2,1,4,"Single, Never Married",2,2,7,Midwest
383221824,Male,1994,White,High School Graduate,16,12,3,5,1,3,1,"Single, Never Married",2,8,1,South
390152237,Male,1993,White,High School Graduate,4,12,2,6,2,3,2,"Single, Never Married",2,3,7,South
373264807,Male,1995,White,High School Graduate,3,19,1,2,1,2,2,"Single, Never Married",2,2,4,Midwest
351676954,Male,1994,White,High School Graduate,3,39,1,1,1,2,1,"Single, Never Married",2,1,1,Midwest
394325448,Male,1989,White,High School Graduate,4,36,1,1,1,1,1,"Single, Never Married",2,1,1,NorthEast
395007437,Male,1995,White,High School Graduate,16,12,3,4,2,3,4,"Single, Never Married",2,1,7,South
383686568,Male,1998,White,High School Graduate,97,36,3,3,1,1,1,"Single, Never Married",2,8,1,NorthEast
405700882,Male,1996,White,High School Graduate,97,6,3,3,1,3,2,"Single, Never Married",2,8,1,West
382336009,Male,1992,White,High School Graduate,9,20,2,6,1,4,1,"Single, Never Married",2,2,2,Midwest
411607517,Male,1998,White,High School Graduate,2,6,5,5,1,4,2,"Single, Never Married",2,4,2,West
377587727,Male,1991,White,No High School Degree,11,25,1,1,1,1,1,"Single, Never Married",2,2,1,NorthEast
383847876,Male,1992,White,High School Graduate,5,48,2,7,2,4,1,"Single, Never Married",2,1,7,South
371643278,Male,1996,White,High School Graduate,4,36,2,7,1,1,2,Divorced,1,2,1,NorthEast
378048670,Male,1996,White,High School Graduate,5,6,2,6,1,4,2,"Single, Never Married",2,1,3,West
285185361,Male,1989,White,High School Graduate,3,36,2,7,1,4,1,"Single, Never Married",2,2,2,NorthEast
411550229,Male,1997,White,High School Graduate,5,36,2,6,2,3,3,"Single, Never Married",2,5,7,NorthEast
379486442,Male,1991,White,No High School Degree,3,47,2,6,1,4,1,"Single, Never Married",2,4,2,South
345372859,Male,2000,White,No High School Degree,10,51,1,1,1,1,1,"Single, Never Married",2,8,1,South
407322838,Male,1999,White,No High School Degree,5,13,3,3,2,2,4,"Single, Never Married",2,8,2,South
407573424,Male,1995,White,High School Graduate,1,17,3,8,1,6,5,"Single, Never Married",2,4,7,Midwest
409790275,Male,1996,White,No High School Degree,1,18,3,3,1,3,2,"Single, Never Married",2,2,7,Midwest
409203780,Male,1995,White,No High School Degree,1,13,1,1,1,1,2,"Single, Never Married",2,8,1,South
363985628,Male,1999,White,High School Graduate,8,13,2,7,1,5,1,"Single, Never Married",2,2,7,South
306437067,Male,1992,White,High School Graduate,97,24,3,4,1,6,1,"Single, Never Married",2,3,7,South
401548293,Male,1997,White,High School Graduate,97,51,1,2,2,2,1,"Single, Never Married",2,8,7,South
411433994,Male,1998,White,No High School Degree,1,18,3,4,1,1,2,"Single, Never Married",2,2,7,Midwest
379709091,Male,1991,White,High School Graduate,97,55,2,7,1,5,2,Married,2,1,2,Midwest
401550547,Male,2000,White,High School Graduate,97,34,5,8,2,6,1,"Single, Never Married",2,8,7,NorthEast
360798836,Male,1991,White,High School Graduate,1,33,5,4,1,6,5,Married,1,2,7,NorthEast
360176830,Male,1990,White,No High School Degree,9,53,3,5,1,3,1,"Single, Never Married",2,1,2,West
392824333,Male,1995,White,High School Graduate,97,49,1,1,2,3,2,"Single, Never Married",2,4,7,West
404116313,Male,1995,White,High School Graduate,10,6,3,3,1,2,2,Married,2,2,4,West
